набор параметров	Prob (F-statistic):	Adj. R-squared: 	Durbin-Watson: 	
urls_ln ~ lang_number_2010_ln +region_budget_cost2014	8.82E-008	0.525	1.889	оба значимы
lang_tokens_ln ~ ' + ' + '.join(people)	0.000889	0.444	1.502	
lang_tokens_ln ~ lang_number_2010_ln + region_death_rate2014_ln	0.000000211	0.504	1.687	
lang_tokens_ln ~ lang_number_2010_ln + region_death_rate2014_ln + region_birth_rate2014	0.000000317	0.525	1.615	
lang_tokens_ln ~ lang_number_2010_ln + region_population_growth2014	3.26E-008	0.548	1.608	оба значимы
lang_tokens_ln ~ lang_number_2010_ln + region_density_of_population_ln	0.000000132	0.516	1.479	
lang_tokens_ln ~ lang_number_2010_ln + region_inet_user_percent_2011_ln	0.000000138	0.515	1.688	
lang_tokens_ln ~ lang_number_2010_ln + region_number_computers_per_family2010	0.0000387	0.391	1.571	
lang_tokens_ln ~ lang_number_2010_ln + lang_detsad_ln	0.000000251	0.5	1.608	
lang_tokens_ln ~ ' + ' + '.join(lang_status)	0.251	0.301	1.651	
lang_tokens_ln ~ lang_number_2010_ln + region_birth_rate2014	0.000000123	0.517	1.525	
lang_tokens_ln ~ lang_number_2010_ln + region_density_of_population_ln	0.000000132	0.516	1.479	
lang_tokens_ln ~ lang_number_2010_ln + region_number_computers_per_family2010 + region_inet_user_percent_2011_ln	0.0000124	0.461	1.694	
lang_tokens_ln ~ lang_number_2010_ln + region_population_growth2014 +  region_budget_cost2014	6.81E-008	0.561	1.528	
lang_tokens_ln ~ lang_number_2010_ln + region_population_growth2014 + region_budget_emoluments2014 + region_budget_cost2014	0.000000276	0.554	1.551	
lang_tokens_ln ~ lang_number_2010_ln + region_population_growth2014 + region_budget_emoluments2014 + region_budget_cost2014 +  lang_number_books_2009_ln + lang_number_newspapers_1996_ln	0.000000581	0.58	1.771	
lang_tokens_ln ~ lang_number_2010_ln + region_population_growth2014 + region_budget_cost2014 +  lang_number_books_2009_ln + lang_number_newspapers_1996_ln	0.000000214	0.582	1.704	
lang_tokens_ln ~ lang_number_2010_ln + region_population_growth2014 + region_budget_cost2014 + lang_number_newspapers_1996_ln	5.36E-008	0.591	1.728	
lang_tokens_ln ~ lang_number_2010_ln + region_budget_cost2014 + lang_number_newspapers_1996_ln	3.12E-008	0.578	1.596	
lang_tokens_ln ~ lang_number_2010_ln + region_population_growth2014 + lang_number_newspapers_1996_ln	3.97E-008	0.572	1.825	
lang_tokens_ln ~ lang_number_2010_ln + region_population_growth2014 + region_budget_emoluments2014 + region_budget_cost2014 + lang_number_newspapers_1996_ln	0.000000151	0.59	1.787	
urls_ln ~ lang_number_2010_ln + region_population_growth2014 + region_budget_cost2014 + lang_number_newspapers_1996_ln	3.14E-008	0.602	1.963	
all_domains_ln ~ lang_number_2010_ln + region_population_growth2014 + region_budget_cost2014 + lang_number_newspapers_1996_ln	4.05E-008	0.597	1.463	
type1_domains_found_ln ~ lang_number_2010_ln + region_population_growth2014 + region_budget_cost2014 + lang_number_newspapers_1996_ln	7.21E-009	0.632	1.791	
type1_domains_found_ln ~ lang_number_2010_ln + region_budget_cost2014 + lang_number_newspapers_1996_ln	1.55E-009	0.637	1.829	
type1_domains_crawled_ln ~ lang_number_2010_ln + region_budget_cost2014 + lang_number_newspapers_1996_ln	5.48E-009	0.613	1.718	
type1_domains_crawled_ln ~ lang_number_2010_ln + region_population_growth2014 +region_budget_cost2014 + lang_number_newspapers_1996_ln	0.000000013	0.62	1.688	
type1_domains_crawled_ln ~ lang_number_2010_ln + region_population_growth2014 +region_budget_cost2014 + lang_number_newspapers_1996_ln + C(region_FedDistrict)	0.0000123	0.59	1.756	
lang_tokens_ln ~ lang_number_2010_ln + region_population_growth2014 +region_budget_cost2014 + lang_number_newspapers_1996_ln + C(region_FedDistrict)	0.0000843	0.53	1.653	
urls_ln ~ lang_number_2010_ln + region_population_growth2014 +region_budget_cost2014 + lang_number_newspapers_1996_ln + C(region_FedDistrict)	0.0000165	0.582	1.856	
type1_domains_found_ln ~ lang_number_2010_ln + region_population_growth2014 +region_budget_cost2014 + lang_number_newspapers_1996_ln + C(region_FedDistrict)	0.00000968	0.597	1.905	
